0,1,2,3,4,5,6,7,8,9,10
soda,misc. beverages,,,,,,,,,
canned beer,organic products,whole milk,frozen dessert,misc. beverages,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
butter milk,dessert,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
rolls/buns,mustard,newspapers,vinegar,,,,,,,
oil,fruit/vegetable juice,,,,,,,,,
pork,whole milk,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
yogurt,whole milk,,,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
other vegetables,sausage,tropical fruit,frozen meals,hygiene articles,rolls/buns,,,,,
sugar,shopping bags,,,,,,,,,
whole milk,yogurt,pastry,,,,,,,,
shopping bags,curd,,,,,,,,,
pip fruit,ice cream,,,,,,,,,
whole milk,bottled water,,,,,,,,,
yogurt,whole milk,,,,,,,,,
soda,hard cheese,,,,,,,,,
pastry,sauces,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
whole milk,baking powder,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
hard cheese,other vegetables,whole milk,zwieback,,,,,,,
yogurt,photo/film,,,,,,,,,
oil,canned fish,,,,,,,,,
bottled beer,newspapers,napkins,,,,,,,,
canned beer,other vegetables,,,,,,,,,
soap,brown bread,,,,,,,,,
photo/film,shopping bags,,,,,,,,,
tropical fruit,hygiene articles,candles,,,,,,,,
detergent,whole milk,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
meat,cake bar,,,,,,,,,
sausage,fruit/vegetable juice,salt,,,,,,,,
coffee,hard cheese,,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
herbs,sugar,,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
bottled water,oil,sausage,bottled beer,rolls/buns,bottled water,waffles,tropical fruit,frozen meals,,
sausage,specialty cheese,,,,,,,,,
hamburger meat,root vegetables,fruit/vegetable juice,,,,,,,,
whole milk,yogurt,shopping bags,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
sausage,dog food,bottled beer,bottled water,,,,,,,
UHT-milk,dessert,,,,,,,,,
whole milk,sugar,,,,,,,,,
ice cream,pip fruit,root vegetables,rolls/buns,long life bakery product,,,,,,
butter,soda,,,,,,,,,
pork,beef,,,,,,,,,
soda,soda,,,,,,,,,
pip fruit,white wine,white wine,,,,,,,,
condensed milk,other vegetables,softener,,,,,,,,
meat,pip fruit,,,,,,,,,
butter,soda,,,,,,,,,
pork,bottled water,,,,,,,,,
whole milk,candy,,,,,,,,,
photo/film,fruit/vegetable juice,,,,,,,,,
root vegetables,packaged fruit/vegetables,,,,,,,,,
whole milk,salty snack,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
seasonal products,white wine,,,,,,,,,
other vegetables,whole milk,yogurt,bottled water,,,,,,,
sausage,dessert,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
whole milk,yogurt,,,,,,,,,
domestic eggs,dessert,,,,,,,,,
frankfurter,salty snack,,,,,,,,,
oil,waffles,,,,,,,,,
pork,shopping bags,bottled water,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
rolls/buns,bottled water,other vegetables,finished products,other vegetables,butter,yogurt,rolls/buns,citrus fruit,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
dental care,curd,,,,,,,,,
whole milk,white bread,,,,,,,,,
canned beer,sliced cheese,,,,,,,,,
meat,other vegetables,,,,,,,,,
UHT-milk,roll products ,salt,,,,,,,,
beef,root vegetables,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
meat,butter milk,tropical fruit,specialty bar,newspapers,rolls/buns,,,,,
beef,female sanitary products,,,,,,,,,
cling film/bags,whipped/sour cream,coffee,,,,,,,,
curd cheese,newspapers,UHT-milk,,,,,,,,
soda,white bread,fruit/vegetable juice,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
organic sausage,UHT-milk,,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
sausage,fruit/vegetable juice,pot plants,,,,,,,,
root vegetables,butter,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
ham,specialty bar,,,,,,,,,
chocolate,white wine,newspapers,,,,,,,,
frozen vegetables,dishes,soda,domestic eggs,,,,,,,
misc. beverages,bottled water,mustard,,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
soda,shopping bags,other vegetables,rolls/buns,,,,,,,
sausage,canned beer,,,,,,,,,
sausage,root vegetables,,,,,,,,,
soda,beverages,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
female sanitary products,soda,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
rolls/buns,butter,,,,,,,,,
meat,curd,,,,,,,,,
whole milk,coffee,,,,,,,,,
pork,rolls/buns,yogurt,brown bread,,,,,,,
pork,dessert,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
pork,bottled water,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
whole milk,citrus fruit,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
sausage,oil,cream cheese ,,,,,,,,
butter,candy,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
ice cream,herbs,,,,,,,,,
newspapers,frozen vegetables,long life bakery product,,,,,,,,
sausage,soda,processed cheese,,,,,,,,
whole milk,yogurt,long life bakery product,,,,,,,,
other vegetables,napkins,,,,,,,,,
whole milk,soda,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
sweet spreads,newspapers,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,herbs,chocolate,,,,,,,,
UHT-milk,soda,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
chicken,citrus fruit,other vegetables,margarine,hard cheese,soft cheese,,,,,
hamburger meat,root vegetables,,,,,,,,,
newspapers,frozen meals,,,,,,,,,
butter milk,newspapers,,,,,,,,,
curd,root vegetables,pip fruit,whole milk,margarine,,,,,,
pip fruit,flower (seeds),,,,,,,,,
hygiene articles,rolls/buns,,,,,,,,,
soda,packaged fruit/vegetables,butter milk,,,,,,,,
root vegetables,whole milk,,,,,,,,,
newspapers,chocolate,,,,,,,,,
curd,soda,,,,,,,,,
pork,rolls/buns,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
salty snack,kitchen towels,,,,,,,,,
soda,long life bakery product,,,,,,,,,
root vegetables,onions,,,,,,,,,
chicken,yogurt,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
pork,whole milk,other vegetables,,,,,,,,
grapes,whole milk,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
soda,yogurt,bottled water,pot plants,,,,,,,
rolls/buns,newspapers,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
margarine,soda,,,,,,,,,
brown bread,herbs,,,,,,,,,
chicken,rolls/buns,liquor (appetizer),pip fruit,hygiene articles,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
pork,root vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
frankfurter,baking powder,shopping bags,,,,,,,,
photo/film,chewing gum,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
whipped/sour cream,UHT-milk,fruit/vegetable juice,,,,,,,,
specialty chocolate,soda,,,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
pip fruit,pastry,,,,,,,,,
canned beer,chocolate marshmallow,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
soda,candy,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
soft cheese,spices,,,,,,,,,
bottled beer,ice cream,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
newspapers,yogurt,semi-finished bread,,,,,,,,
pastry,brown bread,,,,,,,,,
soda,margarine,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
domestic eggs,whole milk,artif. sweetener,,,,,,,,
frankfurter,whole milk,,,,,,,,,
ham,domestic eggs,,,,,,,,,
whole milk,cat food,,,,,,,,,
citrus fruit,jam,,,,,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
sausage,rolls/buns,,,,,,,,,
whole milk,pastry,napkins,,,,,,,,
whole milk,berries,,,,,,,,,
butter milk,root vegetables,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
white bread,make up remover,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
soft cheese,coffee,,,,,,,,,
coffee,soft cheese,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
tropical fruit,onions,,,,,,,,,
brandy,dessert,,,,,,,,,
frankfurter,frankfurter,whole milk,canned fish,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
soda,shopping bags,cream cheese ,,,,,,,,
soda,curd,flower (seeds),,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
oil,citrus fruit,,,,,,,,,
butter,butter,margarine,,,,,,,,
whole milk,pastry,liquor,,,,,,,,
chicken,mayonnaise,soda,sparkling wine,,,,,,,
bottled beer,yogurt,,,,,,,,,
soap,berries,,,,,,,,,
whole milk,dessert,,,,,,,,,
bottled beer,processed cheese,,,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
mayonnaise,instant coffee,,,,,,,,,
chocolate,waffles,,,,,,,,,
whole milk,white bread,,,,,,,,,
UHT-milk,other vegetables,cream cheese ,rolls/buns,,,,,,,
chicken,rolls/buns,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
white bread,red/blush wine,,,,,,,,,
citrus fruit,soda,,,,,,,,,
misc. beverages,root vegetables,frozen vegetables,rolls/buns,,,,,,,
butter milk,yogurt,,,,,,,,,
long life bakery product,butter,,,,,,,,,
fish,bottled beer,,,,,,,,,
citrus fruit,soda,,,,,,,,,
sausage,newspapers,,,,,,,,,
frankfurter,zwieback,other vegetables,liquor,bottled water,,,,,,
tropical fruit,specialty bar,whole milk,,,,,,,,
sausage,bottled water,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
citrus fruit,shopping bags,domestic eggs,,,,,,,,
bottled water,softener,rolls/buns,,,,,,,,
packaged fruit/vegetables,pudding powder,shopping bags,coffee,,,,,,,
herbs,soda,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
frozen fish,beef,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
rolls/buns,napkins,bottled beer,,,,,,,,
photo/film,whole milk,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
pastry,mustard,,,,,,,,,
meat,pip fruit,beverages,soda,,,,,,,
brown bread,salt,,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
tropical fruit,grapes,sausage,grapes,fruit/vegetable juice,curd,other vegetables,whipped/sour cream,,,
rolls/buns,whole milk,frozen vegetables,newspapers,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
white bread,cream cheese ,,,,,,,,,
yogurt,beverages,,,,,,,,,
liver loaf,waffles,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
other vegetables,waffles,,,,,,,,,
soft cheese,sugar,,,,,,,,,
pork,dental care,,,,,,,,,
frankfurter,grapes,soda,seasonal products,,,,,,,
sausage,margarine,,,,,,,,,
soda,liver loaf,,,,,,,,,
soda,canned beer,soft cheese,waffles,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
yogurt,seasonal products,,,,,,,,,
canned beer,frozen meals,beef,canned beer,coffee,,,,,,
soda,prosecco,canned fish,,,,,,,,
coffee,whole milk,,,,,,,,,
curd,chocolate,,,,,,,,,
zwieback,citrus fruit,,,,,,,,,
yogurt,tidbits,,,,,,,,,
yogurt,canned vegetables,seasonal products,,,,,,,,
popcorn,dishes,whole milk,,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
hair spray,chocolate,rolls/buns,,,,,,,,
pastry,whole milk,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
white bread,baking powder,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
pastry,curd,,,,,,,,,
frozen meals,instant coffee,specialty chocolate,,,,,,,,
onions,other vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,pastry,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
salty snack,soups,,,,,,,,,
canned beer,misc. beverages,long life bakery product,,,,,,,,
chicken,hygiene articles,,,,,,,,,
soda,chocolate,,,,,,,,,
ham,white bread,long life bakery product,,,,,,,,
pip fruit,pastry,,,,,,,,,
soda,frankfurter,soda,salty snack,bottled water,frozen vegetables,yogurt,,,,
pastry,shopping bags,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
other vegetables,hamburger meat,citrus fruit,dish cleaner,coffee,coffee,mayonnaise,newspapers,,,
frozen meals,soups,,,,,,,,,
whole milk,sweet spreads,pip fruit,bottled water,mustard,,,,,,
specialty bar,cleaner,,,,,,,,,
frozen potato products,root vegetables,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
root vegetables,hard cheese,waffles,,,,,,,,
yogurt,margarine,,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
specialty chocolate,canned beer,,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
other vegetables,bottled water,,,,,,,,,
onions,liquor (appetizer),,,,,,,,,
whole milk,soda,,,,,,,,,
yogurt,butter,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
ham,beverages,margarine,,,,,,,,
rolls/buns,cream cheese ,margarine,,,,,,,,
soda,rolls/buns,soda,,,,,,,,
coffee,whipped/sour cream,,,,,,,,,
hard cheese,salty snack,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
sugar,frozen vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
soda,soda,canned beer,,,,,,,,
candles,rolls/buns,other vegetables,rolls/buns,,,,,,,
bottled beer,whole milk,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
canned vegetables,other vegetables,,,,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,dessert,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
fruit/vegetable juice,sausage,sausage,domestic eggs,seasonal products,,,,,,
other vegetables,soda,frozen potato products,,,,,,,,
tropical fruit,butter milk,brown bread,,,,,,,,
sausage,sliced cheese,salty snack,,,,,,,,
beef,brown bread,,,,,,,,,
canned beer,butter,margarine,domestic eggs,,,,,,,
margarine,beverages,,,,,,,,,
pip fruit,soda,,,,,,,,,
butter milk,flour,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
other vegetables,bottled water,mustard,whole milk,root vegetables,pet care,,,,,
rolls/buns,cream cheese ,,,,,,,,,
rolls/buns,curd,,,,,,,,,
canned beer,tropical fruit,newspapers,,,,,,,,
ham,whole milk,,,,,,,,,
bottled beer,specialty cheese,,,,,,,,,
frozen vegetables,frozen vegetables,,,,,,,,,
other vegetables,margarine,,,,,,,,,
sausage,rolls/buns,rice,,,,,,,,
bottled beer,whole milk,,,,,,,,,
canned beer,berries,,,,,,,,,
other vegetables,napkins,white wine,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
canned beer,berries,bottled water,,,,,,,,
pork,yogurt,napkins,,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
margarine,napkins,,,,,,,,,
cream cheese ,dessert,,,,,,,,,
root vegetables,flour,,,,,,,,,
sausage,nuts/prunes,,,,,,,,,
softener,soda,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
whole milk,sausage,pork,coffee,,,,,,,
onions,coffee,,,,,,,,,
ham,napkins,rice,,,,,,,,
whole milk,ice cream,turkey,artif. sweetener,,,,,,,
frozen vegetables,salad dressing,,,,,,,,,
chicken,chocolate,,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
pork,soda,rolls/buns,brown bread,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
curd,cake bar,ketchup,,,,,,,,
hamburger meat,salty snack,,,,,,,,,
beef,curd,,,,,,,,,
pastry,other vegetables,,,,,,,,,
salty snack,curd,,,,,,,,,
